  A   Z Nuc Mass (MeV)
137  61     127509.720
137  62     127515.266
137  63     127522.647
138  51     128466.080
138  52     128454.102
138  53     128447.316
138  54     128438.821
138  55     128435.405
138  56     128429.529
138  57     128430.770
138  58     128429.217
138  59     128433.153
138  60     128433.769
138  61     128440.346
138  62     128443.289
138  63     128452.538
139  52     129391.087
139  53     129382.319
139  54     129374.643
139  55     129369.085
139  56     129364.371
139  57     129361.557
139  58     129361.334
139  59     129362.963
139  60     129365.267
139  61     129369.280
139  62     129373.901
139  63     129380.383
140  52     130326.210
140  53     130318.678
140  54     130308.795
140  55     130304.230
140  56     130297.509
140  57     130295.961
140  58     130291.700
140  59     130294.587
140  60     130294.516
140  61     130300.061
140  62     130302.319
140  63     130310.289
140  64     130314.994
140  65     130325.795
141  53     131253.851
141  54     131245.079
141  55     131238.297
141  56     131232.540
141  57     131228.840
141  58     131225.837
141  59     131224.754
141  60     131226.077
141  61     131229.246
141  62     131233.335
141  63     131238.844
141  64     131245.046
141  65     131253.230
142  53     132190.502
142  54     132179.540
142  55     132173.754
142  56     132165.924
142  57     132163.241
142  58     132158.231
142  59     132158.476
142  60     132155.813
142  61     132160.121
142  62     132161.777
142  63     132168.950
142  64     132172.805
142  65     132182.706
143  54     133116.061
143  55     133108.087
143  56     133101.324
143  57     133096.588
143  58     133092.652
143  59     133090.690
143  60     133089.255
143  61     133089.797
143  62     133092.740
143  63     133097.516
143  64     133103.027
143  65     133110.340
143  66     133118.091
144  54     134050.886
144  55     134043.985
144  56     134034.988
144  57     134031.404
144  58     134025.321
144  59     134024.501
144  60     134021.004
144  61     134022.835
144  62     134021.786
144  63     134027.633
144  64     134030.993
144  65     134039.885
144  66     134045.184
144  67     134056.647
145  54     134987.759
145  55     134978.696
145  56     134970.733
145  57     134964.912
145  58     134960.180
145  59     134957.120
145  60     134954.814
145  61     134954.478
145  62     134954.594
145  63     134956.754
145  64     134961.320
145  65     134967.359
145  66     134975.006
145  67     134983.630
146  54     135922.791
146  55     135914.934
146  56     135904.796
146  57     135900.192
146  58     135893.105
146  59     135891.559
146  60     135886.814
146  61     135887.785
146  62     135885.743
146  63     135889.122
146  64     135889.655
146  65     135897.478
146  66     135902.188
146  67     135913.006
146  68     135919.424
147  55     136849.819
147  56     136840.973
147  57     136834.058
147  58     136828.221
147  59     136824.290
147  60     136821.087
147  61     136819.691
147  62     136818.967
147  63     136820.189
147  64     136821.878
147  65     136825.993
147  66     136832.041
147  67     136839.981
147  68     136848.632
147  69     136858.768
148  55     137786.322
148  56     137775.138
148  57     137769.521
148  58     137761.331
148  59     137758.693
148  60     137753.320
148  61     137753.362
148  62     137750.391
148  63     137752.929
148  64     137752.459
148  65     137757.693
148  66     137759.871
148  67     137769.241
148  68     137775.255
148  69     137787.471
149  56     138711.105
149  57     138703.504
149  58     138696.553
149  59     138691.683
149  60     138687.846
149  61     138685.658
149  62     138684.086
149  63     138684.281
149  64     138685.096
149  65     138688.235
149  66     138691.529
149  67     138697.080
149  68     138704.487
